Model,MSE,MAE
Dummy,16.154526474136993,2.820391010078716
Linear Regression unigram BoW,43.28777366718079,3.0467526978921557
Linear Regression bigram BoW,5.954273958645599,1.5937026367670977
Linear Regression unigram TfIdF,20.723266321705182,2.454842373248096
Linear Regression bigram TfIdF,5.711330706614976,1.6564388459813209
Ridge unigram TfIdF,3.8596930785832657,1.2901136508229312
Ridge bigram TfIdF,5.4500028196990735,1.527249228852316
KNN unigram,5.10022757216433,1.4303030303030304
KNN bigram,7.077560879424233,1.6081435472739822
